Seconds,FlowRate
172800,39.2
180000,34.5
201600,36.3
203040,36.3
216000,39.2
223200,42.8
226080,50.4
226800,121
227160,197
227520,554
228240,1340
228480,1380
228600,1500
228960,1700
229320,1910
230040,2070
230400,2200
232200,2410
232560,2510
233280,2600
234000,2640
234720,2690
235800,2730
236520,2780
236880,2780
237600,2780
238320,2780
239400,2720
241200,2610
244800,2550
246600,2380
248400,2320
249840,2220
255600,1930
258480,1700
259200,1700
262800,1610
266400,1490
270000,1370
272160,1290
272880,1290
273600,1270
277200,1130
280800,1020
282960,958
283680,958
284400,949
288000,845
291600,784
295200,764
298800,689
301320,678
302760,625
304920,569
306000,542
309600,511
313200,500
320400,470
322200,445
324000,435
331200,378
342000,375
345600,359
352800,315
363600,292
374400,229
396000,222
414000,144
415800,144
417600,159
